^IXIC,^GSPC,CL=F,GC=F,^VIX,ORCL
22886.0703125,6909.509765625,66.38999938964844,5059.2998046875,19.09000015258789,148.0800018310547
22627.26953125,6837.75,66.30999755859375,5204.7001953125,21.010000228881836,141.30999755859375
22863.6796875,6890.06982421875,65.62999725341797,5155.7998046875,19.549999237060547,146.13999938964844
23152.080078125,6946.1298828125,65.41999816894531,5206.39990234375,17.93000030517578,147.88999938964844
22878.380859375,6908.85986328125,65.20999908447266,5176.5,18.6299991607666,150.30999755859375
22668.2109375,6878.8798828125,67.0199966430664,5230.5,19.860000610351562,145.39999389648438
22748.859375,6881.6201171875,71.2300033569336,5294.39990234375,21.440000534057617,149.25
22516.689453125,6816.6298828125,74.55999755859375,5107.39990234375,23.56999969482422,149.00999450683594
22807.48046875,6869.5,74.66000366210938,5120.2001953125,21.149999618530273,152.3699951171875
22748.990234375,6830.7099609375,81.01000213623047,5065.2998046875,23.75,154.7899932861328
22387.6796875,6740.02001953125,90.9000015258789,5146.10009765625,29.489999771118164,152.9600067138672
22695.94921875,6795.990234375,94.7699966430664,5091.5,25.5,151.55999755859375
22697.099609375,6781.47998046875,83.44999694824219,5229.7001953125,24.93000030517578,149.39999389648438
22716.130859375,6775.7998046875,87.25,5167.39990234375,24.229999542236328,163.1199951171875
22311.98046875,6672.6201171875,95.7300033569336,5115.7998046875,27.290000915527344,159.16000366210938
22105.359375,6632.18994140625,98.70999908447266,5052.5,27.190000534057617,155.11000061035156
22374.1796875,6699.3798828125,93.5,4994.0,23.510000228881836,155.97000122070312
22479.529296875,6716.08984375,96.20999908447266,5001.0,22.3700008392334,154.69000244140625
22152.419921875,6624.7001953125,96.31999969482422,4889.89990234375,25.09000015258789,152.89999389648438
22090.69140625,6606.490234375,93.95999908447266,4646.0,24.059999465942383,155.52000427246094
22090.69140625,6606.490234375,66.43000030517578,4975.89990234375,20.229999542236328,155.52000427246094
